City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
33,Hermanus,-34.4187,19.2345,49.8,59,13,1.07,ZA,2022-06-15 15:48:35
34,Irbil,36.1926,44.0106,96.62,15,20,6.91,IQ,2022-06-15 15:44:50
35,Leningradskiy,69.3833,178.4167,33.55,90,100,12.24,RU,2022-06-15 15:48:35
36,Tamandare,-8.7597,-35.1047,81.72,66,18,7.4,BR,2022-06-15 15:48:35
37,Cabo San Lucas,22.8909,-109.9124,90.18,66,1,10.18,MX,2022-06-15 15:48:36
38,Cockburn Town,21.4612,-71.1419,82.36,69,40,16.11,TC,2022-06-15 15:48:36
39,Mahebourg,-20.4081,57.7,71.26,94,75,18.41,MU,2022-06-15 15:48:36
40,Lasa,46.6166,10.7002,79.68,48,71,3.8,IT,2022-06-15 15:48:37
41,Punta Arenas,-53.15,-70.9167,42.91,75,75,12.66,CL,2022-06-15 15:48:37
42,Kangundo,-1.2979,37.3471,73.74,54,3,9.91,KE,2022-06-15 15:48:37
43,Tuktoyaktuk,69.4541,-133.0374,39.2,75,0,9.22,CA,2022-06-15 15:48:38
44,Lata,40.1629,-8.3327,80.08,43,72,8.5,PT,2022-06-15 15:48:38
45,Nemuro,43.3236,145.575,52.54,93,100,15.41,JP,2022-06-15 15:48:38
46,Havoysund,70.9963,24.6622,43.03,85,99,10.71,NO,2022-06-15 15:48:39
47,Barrow,71.2906,-156.7887,35.62,93,100,10.36,US,2022-06-15 15:48:39
48,Longyearbyen,78.2186,15.6401,40.84,75,75,17.27,SJ,2022-06-15 15:49:39
49,Olafsvik,64.8945,-23.7142,49.93,68,87,13.82,IS,2022-06-15 15:49:40
50,Lixourion,38.2019,20.4314,84.2,74,20,8.05,GR,2022-06-15 15:49:40
51,Bogolyubovo,56.1956,40.5297,62.37,68,99,9.8,RU,2022-06-15 15:49:40
52,Busselton,-33.65,115.3333,60.93,83,41,10.13,AU,2022-06-15 15:49:41
53,Panaba,21.2833,-88.2667,92.91,45,5,10.74,MX,2022-06-15 15:49:41
54,Talara,-4.5772,-81.2719,72.36,56,0,25.32,PE,2022-06-15 15:49:41
55,Chuy,-33.6971,-53.4616,62.76,57,66,5.88,UY,2022-06-15 15:49:42
56,Sao Joao Da Barra,-21.6403,-41.0511,77.09,53,86,5.32,BR,2022-06-15 15:47:07
57,Lebu,-37.6167,-73.65,52.07,85,36,4.32,CL,2022-06-15 15:47:58
58,Mayo,38.8876,-76.5119,89.76,63,0,8.05,US,2022-06-15 15:49:42
59,Saldanha,-33.0117,17.9442,60.85,55,3,6.13,ZA,2022-06-15 15:49:43
60,Atuona,-9.8,-139.0333,77.68,71,85,21.09,PF,2022-06-15 15:49:43
61,Inirida,3.8653,-67.9239,73.38,94,100,1.52,CO,2022-06-15 15:49:43
62,Lagoa,39.05,-27.9833,63.73,87,0,10.65,PT,2022-06-15 15:49:44
63,Palu,-0.8917,119.8707,74.82,94,84,3.13,ID,2022-06-15 15:49:44
64,Alofi,-19.0595,-169.9187,73.29,94,84,10.36,NU,2022-06-15 15:49:44
65,Vostok,46.4856,135.8833,50.83,88,100,3.11,RU,2022-06-15 15:49:45
66,Jiazi,22.8779,116.067,78.55,87,86,2.95,CN,2022-06-15 15:49:45
67,Bluff,-46.6,168.3333,45.81,82,98,27.81,NZ,2022-06-15 15:49:45
68,East London,-33.0153,27.9116,54.54,54,0,21.85,ZA,2022-06-15 15:49:46
69,Colorado Springs,38.8339,-104.8214,70.57,42,0,16.11,US,2022-06-15 15:46:49
70,Cidreira,-30.1811,-50.2056,64.56,68,23,2.55,BR,2022-06-15 15:45:19
71,Abu Dhabi,24.4667,54.3667,96.91,65,5,10.36,AE,2022-06-15 15:49:36
72,Beringovskiy,63.05,179.3167,39.25,88,36,6.31,RU,2022-06-15 15:49:46
73,Jhudo,24.964,69.2968,90.16,55,28,21.41,PK,2022-06-15 15:49:47
74,Vaini,-21.2,-175.2,71.76,88,75,4.61,TO,2022-06-15 15:49:47
75,Saint-Georges,12.0564,-61.7485,83.88,84,40,28.77,GD,2022-06-15 15:49:48
76,Thompson,55.7435,-97.8558,59.16,94,100,8.05,CA,2022-06-15 15:45:17
77,Ossora,59.2353,163.0719,46.08,85,100,6.38,RU,2022-06-15 15:49:48
78,Kahului,20.8947,-156.47,75.85,78,100,11.5,US,2022-06-15 15:49:48
79,Dingle,10.9995,122.6711,78.98,84,28,3.27,PH,2022-06-15 15:49:49
80,Okhotsk,59.3833,143.3,41.52,95,98,3.22,RU,2022-06-15 15:49:49
81,Norman Wells,65.282,-126.8329,48.24,93,100,10.36,CA,2022-06-15 15:49:49
82,Kant,27.8,79.8,103.28,19,19,12.33,IN,2022-06-15 15:49:50
83,Tasiilaq,65.6145,-37.6368,41.16,98,100,9.75,GL,2022-06-15 15:49:50
84,Cherskiy,68.75,161.3,51.06,48,0,6.49,RU,2022-06-15 15:49:50
85,Mehriz,31.5917,54.4318,95.5,10,0,2.91,IR,2022-06-15 15:49:51
86,Ancud,-41.8697,-73.8203,50.23,86,25,3.71,CL,2022-06-15 15:49:51
87,Disraeli,45.9001,-71.3491,71.22,58,7,6.17,CA,2022-06-15 15:49:51
88,Kambove,-10.8764,26.5969,66.94,36,0,1.66,CD,2022-06-15 15:49:52
89,Gobabis,-22.45,18.9667,56.64,23,0,8.9,NA,2022-06-15 15:49:52
